id,lat,long,village,bed_hygiene,bird_nests_inside,chicken_coop_location,bedroom_clutter,dark_main_room,floor_type,construction_pile_type,firewood_location,grain_storage_in_house,house_age,house_hygiene,kitchen_location,land_for_agriculture,num_humans,num_chickens,num_dogs,num_pigs,sign_animals,sign_rats,condition_bedroom_wall,condition_house_wall,material_house_wall,material_roof,windows_in_bedroom,dist_perim,density,infestation,truth
160A_Amatillo,1123.7041003740087,178.3829381120644,Amatillo,mala,si,no,si_acumula,si,tierra,ninguno,afuera_casa,si,2_to_6,mala,afuera_casa,owned,4,9,2,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,120.65881221378471,6,1,1
160B_Amatillo,1123.695803767956,178.44924853215093,Amatillo,mala,si,no,si_acumula,si,tierra,ninguno,adentro_casa,no,2_to_6,mala,afuera_casa,owned,2,8,2,1,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,64.64381813452434,6,0,0
161_Amatillo,1123.6431822362356,178.37233887300002,Amatillo,mala,si,afuera_casa,si_acumula,si,tierra,ninguno,ninguno,no,7_or_more,mala,adentro_casa,owned,6,6,2,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,49.980566076918194,3,1,1
161A_Amatillo,1123.6607811496492,178.38072424908296,Amatillo,mala,si,afuera_casa,si_acumula,si,tierra,ninguno,directly_outside,no,2_to_6,mala,adentro_casa,owned,3,11,0,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,66.76801646486003,4,1,1
162_Amatillo,1123.6690448852064,178.32368353120034,Amatillo,mala,si,afuera_casa,si_acumula,si,tierra,ninguno,adentro_casa,si,7_or_more,mala,adentro_casa,owned,8,10,2,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,111.02610969478664,3,0,0
163_Amatillo,1123.6647258532769,178.24894087065715,Amatillo,buena,no,afuera_casa,si_acumula,si,tierra,ninguno,adentro_casa,no,7_or_more,buena,adentro_casa,owned,2,8,0,0,FALSE,FALSE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,145.4263750016741,4,0,0
164_Amatillo,1123.6327105564403,178.14539283633889,Amatillo,buena,si,no,no_acumula,no,tierra,ninguno,adentro_casa,si,2_to_6,buena,adentro_casa,owned,11,2,0,0,TRUE,TRUE,deterioradas,deterioradas,adobe,alum_cement,FALSE,158.01196882333863,6,1,1
165_Amatillo,1123.6213996023287,178.1297078058938,Amatillo,buena,no,no,no_acumula,si,tierra,ninguno,ninguno,si,2_to_6,buena,afuera_casa,owned,4,13,3,0,FALSE,TRUE,deterioradas,deterioradas,adobe,alum_cement,FALSE,151.21298411308976,6,0,0
165B_Amatillo,1123.6178135182909,178.11086520790744,Amatillo,buena,si,no,no_acumula,si,tierra,ninguno,adentro_casa,si,one_or_less,buena,adentro_casa,owned,5,1,1,0,TRUE,TRUE,buen_estado,deterioradas,brick_block_oth,alum_cement,FALSE,156.52074554681082,4,0,0
166_Amatillo,1123.5030707346198,178.01066496622866,Amatillo,mala,no,afuera_casa,si_acumula,si,tierra,ninguno,ninguno,no,7_or_more,mala,afuera_casa,owned,8,16,2,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,55.84686963155775,3,1,1
